Search Query,Bike Name,Price,Section Title,Section Data
Honda bike,Honda SP 125,"Rs.2,938",Underpinnings,"{'Suspension Front': 'Telescopic', 'Suspension Rear': 'Hydraulic Type', 'Brakes Front': 'Disc', 'Brakes Rear': 'Drum', 'Tyre Size': 'Front :-80/100-18 Rear :-100/80-18', 'Wheel Size': 'Front :-457.2 mm,Rear :-457.2 mm', 'Wheels Type': 'Alloy', 'Frame': 'Diamond Type', 'Tubeless Tyre': 'Tubeless'}"
Honda bike,Honda Shine,"Rs.2,752",Engine and Transmission,"{'Engine Type': '4 Stroke, SI, BS-VI Engine', 'Displacement': '123.94 cc', 'Max Torque': '11 Nm @ 6000 rpm', 'No. of Cylinders': '1', 'Cooling System': 'Air Cooled', 'Valve Per Cylinder': '2', 'Starting': 'Kick and Self Start', 'Fuel Supply': 'Fuel Injection', 'Clutch': 'Multiplate Wet Clutch', 'Gear Box': '5 Speed', 'Bore': '50 mm', 'Stroke': '63.1 mm', 'Compression Ratio': '10±0.2', 'Emission Type': 'bs6-2.0'}"
Honda bike,Honda Shine,"Rs.2,752",Features,"{'Instrument Console': 'Analogue', 'Speedometer': 'Analogue', 'Odometer': 'Analogue', 'Additional Features Of Variant': 'Honda Eco Technology, Enhanced Smart Power, Silent start with ACG, Side Stand Engine Cut-Off', 'Seat Type': 'Single', 'Handle Type': 'Single Piece', 'Body Graphics': 'Yes', 'Passenger Footrest': 'Yes'}"
Honda bike,Honda Shine,"Rs.2,752",Features and Safety,"{'Braking Type': 'Combi Brake System', 'Speedometer': 'Analogue', 'Odometer': 'Analogue', 'Pass Switch': 'Yes', 'Additional Features': 'Honda Eco Technology, Enhanced Smart Power, Silent start with ACG, Side Stand Engine Cut-Off', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes'}"
Honda bike,Honda Shine,"Rs.2,752",Mileage and Performance,{'Overall Mileage': '55 kmpl'}
Honda bike,Honda Shine,"Rs.2,752",Chassis and Suspension,"{'Body Type': 'Commuter Bikes', 'Body Graphics': 'Yes'}"
Honda bike,Honda Shine,"Rs.2,752",Dimensions and Capacity,"{'Width': '737 mm', 'Length': '2046 mm', 'Height': '1116 mm', 'Fuel Capacity': '10.5 L', 'Saddle Height': '791 mm', 'Ground Clearance': '162 mm', 'Wheelbase': '1285 mm', 'Kerb Weight': '114 kg'}"
Honda bike,Honda Shine,"Rs.2,752",Electricals,"{'Headlight': 'Halogen', 'Tail Light': 'Bulb', 'Turn Signal Lamp': 'Bulb', 'Low Fuel Indicator': 'Yes'}"
Honda bike,Honda Shine,"Rs.2,752",Tyres and Brakes,"{'Front Brake Diameter': '240 mm', 'Rear Brake Diameter': '130 mm', 'Radial Tyre': 'Yes'}"
Honda bike,Honda Shine,"Rs.2,752",Motor & Battery,"{'Peak Power': '10.74 PS @ 7500 rpm', 'Drive Type': 'Chain Drive', 'Transmission': 'Manual'}"
