Name,Price,Basic Specs
Ather 450X,Rs.1.26 - 1.29 Lakh*,6.4 kW5.45 Hr
Ather 450S,"Rs.97,547*",5.4 kW8.36 Hr
Ather 450 Apex,Rs.1.89 Lakh*,7 kW5.45 Hr
