Name,Price,Basic Specs
Harley Davidson Sportster S,Rs.15.54 Lakh*,19.6 kmpl1252 cc122.3 PS
Harley Davidson X440,Rs.2.40 - 2.80 Lakh*,35 kmpl440 cc27.37 PS
Harley Davidson Fat Boy 114,Rs.24.49 Lakh*,18.1 kmpl1868 cc95.1 PS
Harley Davidson Fat Bob,Rs.20.49 Lakh*,18.1 kmpl1868 cc93.8 PS
Harley Davidson Pan America 1250,Rs.18.25 - 21.24 Lakh*,18.33 kmpl1252 cc152 PS
Harley Davidson Nightster,Rs.12.24 - 12.99 Lakh*,18.1 kmpl975 cc89.7 PS
Harley Davidson Heritage Classic,Rs.26.59 Lakh*,18.1 kmpl1868 cc95.1 PS
Harley Davidson Street Glide Special,Rs.37.49 Lakh*,16.3 kmpl1868 cc93.8 PS
Harley Davidson Road Glide Special,Rs.40.49 Lakh*,16.3 kmpl1868 cc93.8 PS
