Name,Price,Basic Specs
Husqvarna Vitpilen 250,Rs.2.20 Lakh*,31 kmpl249.07 cc31 PS
Husqvarna Svartpilen 250,Rs.2.93 Lakh*,32.44 kmpl248.76 cc30 PS
Husqvarna Svartpilen 401,Rs.2.92 Lakh*,29 kmpl373 cc46 PS
